174;Atemóia, crua;0,1;Tr;0,1;;;0,09;0,03;Tr;Tr;Tr;174;;;0,01;;0,06;0,04;;;;;;NA
191;Ciriguela, crua;0,2;Tr;0,1;;0,01;0,11;0,02;;Tr;Tr;191;;;0,02;;0,07;0,03;;;;;;NA
192;Cupuaçu, cru;0,4;0,2;0,1;;Tr;0,37;0,04;Tr;Tr;Tr;192;;0,01;0,20;;0,03;0,09;;;;;;NA
193;Cupuaçu, polpa, congelada;0,3;0,1;Tr;;Tr;0,26;0,03;Tr;Tr;Tr;193;;Tr;0,13;Tr;0,01;0,03;;;;;Tr;NA
196;Fruta-pão, crua;0,1;Tr;Tr;;;0,08;Tr;Tr;Tr;Tr;196;;;0,02;;0,01;0,02;;;;;;NA
197;Goiaba, branca, com casca, crua;0,1;Tr;0,2;;;0,04;0,02;Tr;;Tr;197;;;0,03;;0,23;Tr;;;;;;NA
200;Goiaba, vermelha, com casca, crua;0,1;Tr;0,3;;;0,04;0,02;Tr;;Tr;200;;;0,04;;0,26;Tr;;;;;;NA
201;Graviola, crua;Tr;0,1;Tr;;;0,05;Tr;;;;201;;;0,08;;0,01;0,02;;;;;;NA
204;Jaca, crua;0,1;0,1;Tr;;;0,09;Tr;Tr;Tr;Tr;204;;Tr;0,07;;Tr;0,02;;;;;;NA
207;Kiwi, cru;0,1;0,1;0,3;;;0,04;0,02;Tr;;;207;;Tr;0,10;;0,06;0,29;;;;;;NA
221;Maçã, Argentina, com casca, crua;0,1;Tr;Tr;;Tr;0,04;0,02;Tr;Tr;Tr;221;;Tr;0,02;;0,04;0,01;;;;;;NA
223;Macaúba, crua;7,1;25,3;6,5;;0,04;6,01;0,97;0,05;;;223;;0,67;24,57;0,04;6,18;0,30;;;;;;NA
228;Manga, Haden, crua;0,1;0,1;Tr;Tr;Tr;0,07;Tr;Tr;Tr;Tr;228;;0,04;0,05;Tr;0,02;0,02;;;;;;NA
230;Manga, polpa, congelada;0,1;0,1;Tr;;0,01;0,07;Tr;;;;230;;0,03;0,05;;0,01;0,02;;;;;;NA
231;Manga, Tommy Atkins, crua;0,1;0,1;Tr;Tr;0,03;0,05;Tr;Tr;Tr;Tr;231;;0,04;0,04;Tr;Tr;0,04;;;;;Tr;NA
232;Maracujá, cru;0,2;0,3;0,9;;;0,17;0,05;Tr;;;232;;Tr;0,28;;0,92;0,02;;;;;;NA
